"color href","company","status","industry","headquarters","fund","cols","cols 2","cols 3","cols 4","cols 5","cols 6","cols 7","cols 8","company-profile","company-profile 2","company-profile 3","company-profile 4","title 2","company 2","description","p1","company 3","description 2","company 4","description 3","company 5","description 4","company-profile 6","bg src","case-study src","vidyard-lightbox-image src","blue","title 3","blue 2","color src"
"http://www.accelya.com/","Accelya","Current","Transportation","Barcelona, Spain","Perennial","Website","accelya.com","Year of Investment","2019","Status","Current","Headquarters","Barcelona, Spain","Technology products and services for the global airline industry.","Accelya is a leading global provider of integrated technology platforms, software and services to the travel and transport industry. The Company’s platform offers technology solutions for the travel industry to solve critical business problems including commercial planning and optimization, sales and distribution management, financial reconciliation and settlement. Accelya delivers business-critical financial, commercial, cargo, analytics and industry solutions to over 400 airlines, travel agents and shippers in over 150 countries.","Accelya was founded in 1976 and is based in Barcelona, Spain.","Vista Equity Perennial Fund made an equity investment in Accelya in December 2019. Learn more about the partnership .","Add-on Acquisitions","Farelogix, 2020","Farelogix is a leading provider of SaaS solutions for airline retailing and New Distribution Capability (NDC)-enabled commerce. The company’s flagship Airline Commerce Gateway is a technology platform comprised of fully integrated and optimized components for airline-controlled distribution, shopping, pricing, merchandising and retailing used by many of the world’s leading airlines. 
 
Accelya acquired Farelogix in July 2020.","","","","","","","","","","","","","","",""
"http://www.accruent.com/","Accruent","Former","Enterprise Resource Planning","Austin, TX","Foundation","Website","accruent.com","Year of Investment","2009","Status","Former","Headquarters","Austin, TX","Since 1995, Accruent, LLC has helped real estate and facilities leaders deliver long-term, best-in-class, operational and financial performance through purpose-built industry suites that deliver greater customer value. Accruent’s six product brands, Accruent, FAMIS, Siterra, 360Facility, Evoco and Expesite, are used by more than 1,000 leading organizations. These include nearly 45% of the Top 100 Retailers, 20% of the Fortune 500, 100 leading universities, all of the Top 5 Wireless Carriers and leading service providers managing more than 1.5 billion square feet of property.","Accruent is headquartered in Austin, TX, and has offices in Santa Monica, CA, Evanston, IL, Calgary, AB, Canada, and Columbus, OH.","Vista Foundation Fund I completed a buyout of Accruent in December 2009.","TA Associates purchased a majority interest in the Company in November 2013. Genstar Capital acquired the Company from TA Associates and Vista in May 2016.","Add-on Acquisitions","Mainspring Health, 2016","Mainspring Healthcare Solutions is a leading provider of software and technology solutions to support services departments in U.S. hospitals. In addition to its computerized maintenance management solution, Mainspring offers technology to address operational challenges across the hospital. Mainspring, which has served the healthcare market for nearly 25 years, will extend Accruent’s suite of purpose-built healthcare solutions into hospital service departments to drive efficiencies in operations. 

Accruent acquired Mainspring Healthcare Solutions in April 2016.","Real estate performance management solutions to manage the real estate and facilities lifecycle, including site selection, lease administration and maintenance for stores, branches, corporate offices and educational facilities.","VFA, Inc., 2014","VFA, based in Boston, MA, is the leading provider of end-to-end solutions for facilities capital planning and asset management. VFA’s cloud software solutions and consulting services enable customers to assess their real estate portfolios, allocate capital and make better decisions to support their organizations’ mission and strategy. VFA serves over 600 government, education, healthcare and corporate customers from its offices in the United States, Canada and the United Kingdom.
 
Accruent acquired VFA in November 2014.","Four Rivers, 2014","Four Rivers Software Systems, Inc., based in Pittsburgh, PA, is a leading provider of maintenance management software and computer-aided facilities management solutions for the healthcare industry. Founded in 1990, Four Rivers Software serves more than 2,100 facilities, including many world-renowned hospitals and enables increased productivity and profitability through the Company’s experience in understanding and meeting healthcare-specific challenges.
 
Accruent acquired Four Rivers in August 2014.","SiteFM, 2014","SiteFM, headquartered in Austin, TX, enables healthcare facilities to manage the environment of care with solutions that increase productivity and reduce the burden of regulatory compliance. SiteFM’s work order, space/life safety drawing management and asset monitoring/tracking applications result in unprecedented utilization of assets and resources. SiteFM enables managers at more than 400 healthcare facilities to take control of their maintenance and operations, and prepare for facility audits and inspections.
 
Accruent acquired SiteFM in August 2014","","","","","","","",""
"https://www.acquia.com/","Acquia","Current","Sales & Marketing","Boston, MA","Flagship","Website","acquia.com","Year of Investment","2019","Status","Current","Headquarters","Boston, MA","Cloud-based, digital content management solutions.","Acquia is a leading provider of open source web content management and digital experience solutions for enterprise to mid-market level companies. The Company’s solutions are used to manage written content, images, data and experiences to help companies maintain a consistent online presence across all digital touchpoints. Built on the Drupal platform, Acquia’s software and services allow companies the ability to build, operate and optimize websites, apps and other digital channels.","Acquia was founded in 2007 and is based in Boston, MA, with operations worldwide.","Vista Equity Partners Fund VII completed an acquisition of Acquia in November 2019. Learn more about the partnership .","Add-on Acquisitions","Monsido, 2024","Monsido is a website accessibility and optimization solution that helps businesses monitor their website performance, compliance, content quality and data privacy. Thousands of organizations worldwide, from national and local governments to educational institutions and healthcare organizations, rely on the Monisdo platform.

Acquia acquired Monsido in Janaury 2024.","","Widen, 2021","Widen provides a digital asset management platform and associated solutions, designed to support the full lifecycle of content creation, marketing and branding workflows through a central content and product information library. More than 1 million marketers, content creators and technologists from over 700 global brands choose Widen to better connect with audiences.

Acquia acquired Widen in September 2021.","AgilOne, 2019","AgilOne is a leading provider of a Customer Data Platform, or CDP, which creates a single source of customer truth across disparate sources of online and offline data. Through machine learning and analytical algorithms, the Company’s software enhances customer data leveraged through real-time APIs to help brands build authentic omni-channel customer relationships. The AgilOne CDP supports more than 150 brands worldwide.

Acquia acquired AgilOne in December 2019.","","","","","","","","","",""
"http://www.activenetwork.com/","Active Network","Former","Sports, Entertainment & Recreation","Dallas, TX","Flagship, Foundation","Website","activenetwork.com","Year of Investment","2013","Status","Former","Headquarters","Dallas, TX","Active Network, LLC is a leading provider of activity and participant management solutions for event and activity organizers. The company’s ActiveWorks SaaS platform helps organizers automate the registration and administration process, and manage participant and activity information, while also driving consumer participation in customers’ events. The Active Network has ~46,000 customers and drives 92.7 million annual registrations in approximately 200,000 events and activities.","The Active Network is headquartered in Dallas, TX with operations worldwide.","Vista Equity Partners Fund IV and Vista Equity Partners Fund III completed a take-private of The Active Network in November 2013.","Global Payments acquired the communities and sports divisions of The ACTIVE Network in August 2017.","Add-on Acquisitions","TeamPages, 2017","TeamPages is a leading provider of website software solutions for sports leagues, clubs, schools and teams. TeamPages delivers mobile-optimized, self-setup websites and registration capabilities to over 1,200 sports organizers in North America.

Active Network acquired TeamPages in April 2017.","Activity and participant management solutions for event and activity organizers.","Maximum Solutions, 2016","Maximum Solutions is a leading provider of software for the recreation industry with a focus on municipalities, sportsplexes and ice arenas. Maximum’s solutions enable facilities and league scheduling, activity registration, membership management and point of sale functionality.

Active Network acquired Maximum Solutions in December 2016.","JumpForward, 2016","JumpForward connects into the athletic departments of 250+ NCAA colleges and serves as their ERP management system for facilities reservations, schedule planning, athletic donations and ticketing. JumpForward is used by 55 percent of Division I collegiate sports programs for its strength in compliance, recruiting, and business office solutions to ensure athletic departments are following NCAA rules.
 
Active Network acquired JumpForward in May 2016.","Virtual Event Bags, 2015","Virtual Event Bags is the leading virtual event bag platform created to help event organizers more effectively connect their event sponsors with their participants. Virtual Event Bags creates electronic event gift bags which include discount offers, sponsor deals, marketing materials from sponsors and event information for sporting event participants.
 
Active Network acquired Virtual Event Bags in December 2015.","","","","","","","",""
"http://www.aderant.com/","Aderant","Former","Legal, Risk & Compliance","Atlanta, GA","Flagship","Website","aderant.com","Year of Investment","2014","Status","Former","Headquarters","Atlanta, GA","Aderant Holdings, Inc. is a leading provider of business management applications for law firms and professional services organizations to efficiently manage operations, attract and retain clients, and maximize profitability. The company provides a suite of front and back-office applications which automate financial management, time and billing, business development, practice management, business intelligence and performance management functions.","Aderant has over 550 customers, and its solutions are used by more than 100,000 professionals globally. Approximately 90% of the company’s users are from the legal industry (law firms), with the balance coming from the accounting and consulting industries.","Founded in 1978, Aderant is headquartered in Atlanta, GA, and has significant operations in Florida, New Zealand, Canada, Australia and the U.K.","Vista Equity Partners Fund III completed a buyout of Aderant in October 2008.","Add-on Acquisitions","Redwood Analytics, 2014","Redwood Analytics, a former division of LexisNexis, provides leading business performance analytics software and related consulting services for law firms. Redwood Analytics helps law firms track and understand key business metrics such as overall profitability, client health and other drivers of value.
 
Aderant acquired Redwood Analytics in May 2014.","Business management application for law firms and professional services organizations to efficiently manage operations, attract and retain clients, and maximize profitability.","Omega Legal Systems, 2012","Omega Legal Systems provides mid- to large-size law firms an integrated financial and practice management software suite. Since 1975, Omega has been solving critical business issues for law firms, improving their profitability, productivity and efficiency.
 
Aderant acquired Omega Legal Systems in April 2012.","ATG, 2012","ATG provides complete digital imaging solutions for law and professional services firms. The ExpertImage product enables firms to deploy a customized solution using a variety of predefined templates such as bills, prebills, AP invoices, cash receipts and reports. ExpertImage can function as an independent solution or integrate seamlessly with existing management systems such as Aderant Expert.

Aderant acquired Applied Technology Group in March 2012.","Rainmaker, 2011","Rainmaker Software develops financial and practice management software for mid to large sized law firms.
 
Aderant acquired Rainmaker Software in October 2011.","","","","","","","",""
"http://www.advicentsolutions.com/","Advicent Solutions","Former","Financial Services","Milwaukee, WI","Flagship","Website","advicentsolutions.com","Year of Investment","2011","Status","Former","Headquarters","Milwaukee, WI","Advicent Solutions is the leading provider of SaaS-based technology solutions for the financial advice and planning industry. The Company’s products include web-enabled marketing communications, needs assessment and financial planning tools, and are used by more than 250,000 financial professionals across more than 2,700 customers.","Advicent is headquartered in Milwaukee, WI.","Vista Equity Partners Fund III completed a buyout of Emerging Information Systems Inc. (“EISI”) in November 2011 and rebranded the Company Advicent.","InvestCloud acquired Advicent in May 2021.","Add-on Acquisitions","Figlo, 2014","Founded in 1996 and headquartered in Rotterdam, Figlo is the leading provider of financial planning software in the Netherlands, serving financial advisors, major banks and financial service providers. More than 750 companies use Figlo’s software to empower the financial futures of over 2 million of their clients.

Advicent Solutions acquired Figlo in September 2014.","SaaS-based technology solutions for the financial advice and planning industry.","","","","","","","","","","","","","",""
"http://www.agdata.com/","AGDATA","Former","Agriculture","Charlotte, NC","Foundation","Website","agdata.com","Year of Investment","2014","Status","Former","Headquarters","Charlotte, NC","AGDATA, Inc. is a leading provider of strategic data and analytical solutions to the world’s largest agricultural, crop protection and animal health manufacturers. Its solutions allow the world’s leading input manufacturers and trait providers to analyze complex sales data and trends, and develop and maintain marketing and seed rebate programs. The Company also offers a suite of SaaS-based solutions that allow growers to self-verify their industry profile and also allows retailers to review, report and manage transactions and licenses for growers. AGDATA connects with approximately 8,000 retail locations in the United States and Canada and receives, analyzes and reconciles more than 35 million transactions annually.","AGDATA was founded in 1985 and is headquartered in Charlotte, NC.","Vista Foundation Fund II made an equity investment in AGDATA in July 2014.","Levine Leichtman Capital Partners acquired AGDATA in September 2022.","Add-on Acquisitions","Focus Technology Group, 2016","Focus Technology Group is a leading provider of database management and data warehousing solutions for the agriculture and animal health industries. FTG’s solutions include supply chain data, marketing and sales force automation, analytics, reporting, supply chain activation, customer loyalty and incentive management.
 
AGDATA acquired Focus Technology Group in March 2016.","Strategic data and analytics solutions for agricultural, crop protection and animal health manufacturers.","Peppers & Rogers Group, 2015","Peppers & Rogers Group provides services to key agricultural clients in South America, particularly in Brazil. PRG’s areas of focus include customer segmentation, field sales force effectiveness, master data management, planning and forecasting, business intelligence and analysis, and data collection solutions.
 
AGDATA acquired Peppers & Rogers Group in March 2015.","","","","","","","","","","","",""
"http://www.alegeus.com/","Alegeus","Current","Healthcare","Waltham, MA","Flagship","Website","alegeus.com","Year of Investment","2018","Status","Current","Headquarters","Waltham, MA","Leading provider of consumer-directed healthcare software solutions.","Alegeus is a SaaS platform for the management of consumer-directed healthcare benefit accounts including FSAs, HSAs, HRAs, wellness incentives, dependent care and commuter accounts. The Company’s platform helps consumers maximize savings and optimize spending for their healthcare accounts through debit cards and other engagement solutions. Alegeus has over 300 clients including health insurance plans and third-party administrators who manage benefit accounts for more than 30 million members and process more than $9.1 billion in consumer healthcare payments annually.","Alegeus was founded in 2012 and is based in Waltham, MA, with operations in Orlando, FL, and Milwaukee, WI.","Vista Equity Partners Fund VI acquired Alegeus in September 2018.","","","","","","","","","","","Learn more about the partnership .","","","","","","",""
"https://www.alertmedia.com/","AlertMedia","Current","Legal, Risk & Compliance","Austin, TX","Foundation","Website","alertmedia.com","Year of Investment","2021","Status","Current","Headquarters","Austin, TX","Cloud-based provider of emergency communications and threat intelligence solutions.","AlertMedia is a leading provider of emergency mass notification and threat intelligence software. AlertMedia offers businesses and organizations a modern two-way emergency communication software solution with fully integrated threat warnings and employee safety monitoring. The Company’s solutions allow organizations to quickly communicate with employees and other stakeholders across multiple channels to notify them about emergencies or crisis situations. AlertMedia supports critical communications for thousands of organizations in more than 130 countries.","AlertMedia was founded in 2013 and is based in Austin, TX.","Vista Foundation Fund IV acquired AlertMedia in April 2021.","","","","","","","","","","","","","","","","","",""
"http://www.allocatesoftware.com/","Allocate Software","Former","Healthcare","Richmond, U.K.","Foundation","Website","allocatesoftware.com","Year of Investment","2018","Status","Former","Headquarters","Richmond, U.K.","Workforce optimization and compliance software for the healthcare industry.","Allocate Software is a leading international provider of workforce solutions to the healthcare, defense and maritime sectors. With over 800 customers and one million staff rostered daily, Allocate serves the largest public and private institutions around the world by supporting the operational and administrative needs of professionals across all healthcare settings. Allocate’s best-in-class solutions enable the delivery of safe and effective care at optimal cost by helping healthcare organizations have the right people in the right place at the right time.","Allocate Software was founded in 1991 and is based in Richmond, U.K., with offices worldwide.","Vista Foundation Fund III acquired Allocate Software in May 2018.","Add-on Acquisitions","Selenity, 2020","Selenity is a cloud-based provider of HR and finance process management software to healthcare, public sector and commercial customers in the UK. Selenity’s cloud-based technologies reduce costs, increase efficiency and ensure compliance to HR, finance and legal departments.  

Allocate acquired Selenity in October 2020.","","Enterprise Study, 2019","Enterprise Study is a provider of cloud-based learning management systems and an online training marketplace for U.K. care providers and other customers in skilled, regulated and safety-focused industries. The Company has worked with NHS organizations for over 10 years and helps its customers address the common challenges of building and retaining specialized workforces.

Allocate Software acquired Enterprise Study in September 2019.","247 Time, 2018","247 Time is a leading supplier of cloud-based contingent healthcare workforce software. The Company provides vendor management, payroll and direct engagement technology to healthcare and enterprise sectors.

Allocate Software acquired 247 Time in December 2018.","Wambiz, 2018","Wambiz provides private and controlled social networking platforms that deliver customer-critical content primarily to the healthcare sector. The Company’s platform engages users by improving communication, collaboration and productivity for institutions and their employees.
 
Allocate acquired Wambiz in November 2018.","RLDatix acquired Allocate Software in September 2021.","https://www.vistaequitypartners.com/wp-content/uploads/2020/12/Vista_Insights_Powering-Partnership-Allocate.png","https://play.vidyard.com/embed/v4.js","https://play.vidyard.com/tyqScv6KbtYL5gGTeKhNg2.jpg","Video","Powering Partnership: Allocate","Watch Video",""
